StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,,,I1,Q0.1,Q0.2,Q0.2_4_TEXT,Q0.3,Q0.4,Q0.4_8_TEXT,Q0.5,Q0.6,Q0.7,Q0.8_1,Q0.8_2,Q0.8_3,Q0.8_4,Q1.1_1,Q1.1_2,Q1.1_3,Q1.1_4,Q1.2_1,Q1.2_2,Q1.2_3,Q1.2_4,Q1.2_5,Q1.2_6,Q1.2_7,Q1.2_8,Q1.2_9,Q1.2_10,Q1.2_10_TEXT,Q1.3_1,Q1.3_2,Q1.3_3,Q1.3_4,Q1.3_5,Q1.3_6,Q1.3_7,Q1.3_8,Q1.3_9,Q1.3_10,Q1.3_10_TEXT,Q1.4_1,Q1.4_2,Q1.4_3,Q1.4_4,Q1.4_5,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q3.1,Q3.1.1,Q3.1.1_4_TEXT,Q3.2,Q3.3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,Q4.1,Q4.1.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_7_TEXT,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.5,Q5.1,Q5.1_8_TEXT,Q5.2,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.4_1,Q5.4_2,Q5.4_3,Q5.4_4,Q5.4_5,Q5.4_6,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_7,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.3,Q6.4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2,Q7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2024 23:49,10/16/2024 23:56,IP Address,100,419,TRUE,10/16/2024 23:56,R_1ojTL8w7QTtMQ5s,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,Switzerland,Faculty,,35 - 44,16 - 20 years,Male,About half the time,Sometimes,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Online self-directed,,No,No,,Development techniques,Languages,Languages,"Development techniques,Project Management",,No,,,,,,,,,,,,,,,,,,Can't answer this well since I've just moved institutions,"Postdoc,Faculty",,Yes - in my current institution,,,,,,,,,,,,,Most of the time,Never,Most of the time,Most of the time,Most of the time,Never,Never,,,,,,,Dependent on the position (programmer vs. faculty),Slightly important,,,,,"N/A. I have no idea what race, age, gender, etc most of my collaborators are. Online cultures are inclusive by default.","I'm extremely glad they don't, the notion strikes me as positively Stalinesque."
10/18/2024 9:55,10/18/2024 10:37,IP Address,60,2493,FALSE,10/25/2024 10:37,R_3L0Sn9IF3SCpykL,anonymous,,,I understand and consent to participate in this survey.,Combination,Other:,STEM/Art Educator,United States of America,Other,STEM/Art Educator,65 - 74,6 - 10 years,Male,Most of the time,Sometimes,Never,Never,Primary target,Secondary target,Secondary target,Secondary target,10,10,45,5,10,5,5,5,5,0,,20,10,35,10,5,5,5,5,5,0,,Frequently,Never,Somewhat,Frequently,Never,Yes,,1-3 projects,None,None,Moderately supported,Moderately supported,Moderately supported,Moderately supported,Moderately supported,Moderately supported,Moderately supported,No,,,Yes,No,,"Languages,Development techniques,Project Management",,,"Languages,Development techniques,Project Management",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 1:49,11/13/2024 1:57,IP Address,100,535,TRUE,11/13/2024 1:57,R_3ErTb4ZjgwzkkBb,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,Colombia,Faculty,,55 - 64,20 or more years,Male,Sometimes,Most of the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Yes,"Languages,Development techniques,Project Management",,,,,,No,,,,,,,,,,,,,,,,,,,Postdoc,,Don’t know,,,,,,,,,,,,,Always,,Always,,Always,,,,,,,,,Dependent on the position (programmer vs. faculty),Moderately important,,,,,,
11/13/2024 5:18,11/13/2024 5:28,IP Address,100,609,TRUE,11/13/2024 5:28,R_1F2H87Dw6TAqqZP,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,Austria,Faculty,,45 - 54,20 or more years,Male,Sometimes,Most of the time,Sometimes,Sometimes,Secondary target,Secondary target,Primary target,Secondary target,10,10,10,30,10,10,10,10,0,0,,10,10,10,30,10,10,10,10,0,0,,Frequently,Somewhat,Rarely,Rarely,Rarely,Yes,1-3 projects,1-3 projects,1-3 projects,1-3 projects,Slightly supported,Slightly supported,Very supported,Moderately supported,Moderately supported,Slightly supported,Slightly supported,Yes,"Class / school,Online self-directed",,Yes,Yes,,,,,,"Languages,Development techniques,Project Management",No,,0,0,0,0,0,90,10,Google Summer of Code,No,"Yes, adequate level of support",No,No,No,"Yes, adequate level of support",No,No,,,,No - I would have to move to another institution,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,Extremely important,Not at all important,Very important,Extremely important,Always,Always,Always,Always,Always,Always,Never,,,,,,,Yes,Slightly important,,,,,,
11/13/2024 7:31,11/13/2024 7:42,IP Address,100,661,TRUE,11/13/2024 7:42,R_Z3FKhYJlCnQgKRz,anonymous,,,I understand and consent to participate in this survey.,Combination,Other:,retired university professor,United Kingdom of Great Britain and Northern Ireland,Other,emeritus professor,65 - 74,20 or more years,Male,Most of the time,About half the time,Sometimes,Sometimes,Primary target,Secondary target,Primary target,Secondary target,2,2,74,10,10,1,1,0,0,0,,2,5,80,10,0,1,2,0,0,0,,Frequently,Somewhat,Rarely,Frequently,Rarely,Yes,1-3 projects,None,1-3 projects,1-3 projects,Moderately supported,Moderately supported,Very supported,Very supported,Very supported,Very supported,Moderately supported,No,,,No,Yes,,Development techniques,Development techniques,,,"Languages,Project Management",Yes,For developing new software,0,0,0,0,0,0,100,"EU, Simons Foundation ",No,No,No,No,No,No,"Yes, adequate level of support",No,,"Research Software Engineer,Research Faculty",,Yes - in my current institution,Very important,,Slightly important,Moderately important,Very important,Not at all important,Not at all important,Not at all important,Extremely important,Not at all important,Slightly important,Moderately important,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Never,Most of the time,Most of the time,Never,Never,Dependent on the position (programmer vs. faculty),Not at all important,Average,Average,Average,Good,,
11/15/2024 9:15,11/15/2024 9:29,IP Address,100,837,TRUE,11/15/2024 9:29,R_2xDFDmce7PYUIc6,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Faculty,,25 - 34,1 - 5 years,Male,Sometimes,Sometimes,Most of the time,Never,Secondary target,Secondary target,Primary target,Secondary target,20,10,22,10,10,14,2,2,10,0,,20,10,22,10,10,2,14,2,10,0,,Rarely,Frequently,Frequently,Rarely,Frequently,Yes,1-3 projects,None,1-3 projects,1-3 projects,Moderately supported,Very supported,Extremely supported,Very supported,Moderately supported,Moderately supported,Very supported,Yes,"Class / school,Online self-directed",,Yes,Yes,Project Management,"Languages,Development techniques,Project Management",,,"Languages,Development techniques",,Yes,For developing new software,100,0,0,0,0,0,0,,No,"Yes, but inadequate level of support",No,,No,"Yes, but inadequate level of support",No,,,,,Don’t know,,,,,,,,,,,,,Most of the time,Never,Most of the time,Most of the time,Most of the time,Most of the time,,Sometimes,Never,Sometimes,About half the time,Never,,,Slightly important,Poor,Good,Average,Average,,
11/15/2024 9:15,11/15/2024 9:30,IP Address,100,909,TRUE,11/15/2024 9:30,R_2D5E5Tm6iftXwSk,anonymous,,,I understand and consent to participate in this survey.,Developers,Industry,,United States of America,Other,VP of Engineering,35 - 44,1 - 5 years,Male,About half the time,Sometimes,Sometimes,Sometimes,Primary target,Secondary target,Secondary target,Primary target,5,10,20,33,10,15,5,2,0,0,,5,15,20,30,0,15,10,2,3,0,,Frequently,Frequently,Somewhat,Rarely,Rarely,Yes,4+ projects,4+ projects,4+ projects,4+ projects,Very supported,Moderately supported,Extremely supported,Very supported,Very supported,Moderately supported,Moderately supported,No,,,Yes,No,"Languages,Development techniques","Languages,Development techniques",Development techniques,"Languages,Development techniques","Development techniques,Project Management",,Yes,For maintaining / sustaining software,0,0,0,0,0,0,100,Direct donations,No,No,No,No,No,No,No,No,,"Postdoc,Research Software Engineer,Research Programmer,Software Developer,Programmer,Faculty,Research Faculty",,No - I would have to move to another institution,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Extremely important,Slightly important,Slightly important,Very important,Very important,Never,Sometimes,Most of the time,Always,Always,Most of the time,About half the time,Never,Sometimes,Sometimes,About half the time,About half the time,Never,No,Moderately important,Average,Average,Good,Excellent,,
11/15/2024 10:35,11/15/2024 10:42,IP Address,100,425,TRUE,11/15/2024 10:42,R_cOx4dxMMFDLzY1H,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,United States of America,Faculty,,35 - 44,6 - 10 years,Male,Sometimes,Most of the time,Sometimes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,No,Languages,Development techniques,Languages,"Languages,Development techniques",Project Management,,No,,,,,,,,,,,,,,,,,,"I have not yet gotten to know my institution well enough to discover who the experts are, and who is willing to support my needs in mathematical research.","Postdoc,Other",Graduate Student,Don’t know,,,,,,,,,,,,,Never,Never,Sometimes,Never,Never,Sometimes,,,,,,,,Dependent on the position (programmer vs. faculty),Slightly important,Average,Average,,Average,"When bringing new people on, there is quite a bit of work needed to get people up to speed.  So, one's background an expertise play a big role in the ease of onboarding.",No
11/17/2024 15:45,11/17/2024 15:51,IP Address,100,363,TRUE,11/17/2024 15:51,R_3MysSe43CjhQaao,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,South Korea,Postdoc,,25 - 34,11 - 15 years,Male,Most of the time,Sometimes,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Don't know,Yes,,"Languages,Development techniques",,"Languages,Development techniques",,,No,,,,,,,,,,,,,,,,,,Lack of computing power,Other,None,No - I would have to move to another institution,,,,,,,,,,,,,Sometimes,Never,Most of the time,Never,Never,Always,Never,,,,,,,No,Moderately important,Poor,,Poor,Average,Inclusion is not discussed that much in my country,
11/17/2024 17:29,11/17/2024 17:39,IP Address,100,614,TRUE,11/17/2024 17:39,R_1riCnr3XXPUpYtd,anonymous,,,I understand and consent to participate in this survey.,Combination,Industry,,Australia,Research Software Engineer,,45 - 54,20 or more years,Female,Never,Never,About half the time,About half the time,Not at all,Not at all,Not at all,Primary target,0,10,45,5,10,25,0,5,0,0,,5,10,50,5,5,0,20,5,0,0,,Somewhat,Somewhat,Frequently,Rarely,Frequently,Yes,1-3 projects,1-3 projects,4+ projects,4+ projects,,,,,,,,No,,,Yes,Yes,,,,,,"Languages,Development techniques,Project Management",Yes,For developing new software,0,0,0,0,0,0,100,Australian Research Council,"Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support",,"Research Software Engineer,Research Programmer,Software Developer",,Yes - in my current institution,Moderately important,Moderately important,Moderately important,Extremely important,Very important,Very important,Not at all important,Extremely important,Very important,Slightly important,Very important,Very important,Most of the time,Sometimes,Always,Most of the time,Most of the time,Sometimes,,Never,Never,Most of the time,About half the time,About half the time,,Yes,Very important,Poor,Poor,Poor,Average,Finding qualified applicants.,
11/17/2024 20:03,11/17/2024 20:15,IP Address,100,756,TRUE,11/17/2024 20:15,R_b2wK02DZzQNe94l,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Faculty,,35 - 44,16 - 20 years,Male,Most of the time,Sometimes,Most of the time,Sometimes,Not at all,Not at all,Primary target,Primary target,0,10,30,10,20,10,10,10,0,0,,0,10,30,10,20,10,10,10,0,0,,Frequently,Frequently,Frequently,Rarely,Frequently,Yes,1-3 projects,None,None,1-3 projects,Very supported,Very supported,Very supported,Very supported,Very supported,Very supported,Very supported,Yes,"Class / school,Online self-directed",,Yes,Yes,,"Languages,Development techniques,Project Management",,,,"Languages,Development techniques,Project Management",No,,100,0,0,0,0,0,0,,"Yes, adequate level of support",No,No,No,"Yes, adequate level of support",No,No,No,,,,No - I would have to move to another institution,Very important,Very important,Very important,Moderately important,Very important,Not at all important,Slightly important,Slightly important,Very important,Slightly important,Moderately important,Very important,About half the time,About half the time,Always,Most of the time,Always,About half the time,,Most of the time,Never,Never,Never,Always,,Yes,Moderately important,Poor,Poor,Poor,Average,,
11/18/2024 0:06,11/18/2024 0:09,IP Address,100,215,TRUE,11/18/2024 0:09,R_2wHO7Vay3EEAepb,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,Italy,Faculty,,35 - 44,11 - 15 years,Female,Sometimes,Most of the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,No,Project Management,"Languages,Development techniques",,"Languages,Development techniques,Project Management","Languages,Development techniques,Project Management",,No,,,,,,,,,,,,,,,,,,,"Postdoc,Research Software Engineer",,Yes - in my current institution,,,,,,,,,,,,,Always,Never,Always,Always,Always,Always,Never,,,,,,,No,Moderately important,Poor,Poor,Poor,Poor,,
11/18/2024 4:21,11/18/2024 4:39,IP Address,100,1099,TRUE,11/18/2024 4:39,R_2pR9QtL7XrDnTCZ,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,Austria,Graduate Student,,25 - 34,1 - 5 years,Male,Most of the time,Sometimes,Sometimes,Sometimes,Primary target,Secondary target,Primary target,Not at all,5,5,20,0,10,50,10,0,0,0,,0,5,50,5,0,30,5,5,0,0,,Never,Never,Never,Never,Never,Yes,4+ projects,1-3 projects,None,4+ projects,Slightly supported,Slightly supported,Extremely supported,Slightly supported,Extremely supported,Very supported,Moderately supported,Yes,Class / school,,Yes,Yes,"Languages,Development techniques","Development techniques,Project Management",,,,,No,,0,0,0,0,0,100,0,,"Yes, adequate level of support","Yes, but inadequate level of support",No,"Yes, adequate level of support","Yes, adequate level of support","Yes, but inadequate level of support",No,"Yes, adequate level of support",,"Postdoc,Research Software Engineer,Software Developer,Programmer",,No - I would have to move to another institution,,,,,,,,,,,,,,,,Most of the time,Sometimes,Most of the time,,Most of the time,,Sometimes,,,,Yes,,,,,,,
11/18/2024 10:08,11/18/2024 10:17,IP Address,100,540,TRUE,11/18/2024 10:17,R_1mqLnoxM3YIxKoH,anonymous,,,I understand and consent to participate in this survey.,Developers,Other:,Nonprofit,United States of America,Research Software Engineer,,25 - 34,1 - 5 years,Male,Sometimes,About half the time,About half the time,Never,Not at all,Not at all,Secondary target,Primary target,5,10,60,15,5,0,0,5,0,0,,0,15,70,10,0,0,5,0,0,0,,Frequently,Frequently,Rarely,Somewhat,Never,Yes,4+ projects,1-3 projects,None,4+ projects,Moderately supported,Moderately supported,Extremely supported,Very supported,Very supported,Moderately supported,Extremely supported,No,,,No,Yes,"Development techniques,Project Management","Languages,Development techniques,Project Management",,,Languages,,No,,0,0,0,0,0,100,0,,"Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, but inadequate level of support","Yes, adequate level of support",,"Postdoc,Research Software Engineer,Software Developer",,Yes - in my current institution,Very important,Very important,Extremely important,Slightly important,Extremely important,Slightly important,Not at all important,Slightly important,Slightly important,Extremely important,Very important,Extremely important,About half the time,About half the time,Most of the time,Most of the time,About half the time,Sometimes,Sometimes,Sometimes,About half the time,Sometimes,About half the time,Never,Sometimes,Yes,Extremely important,Poor,Average,Average,Average,"I think one individual can often be extremely harmful to said culture, so it is easy to have a ""one bad apple"" problem",
11/18/2024 10:59,11/18/2024 11:10,IP Address,100,625,TRUE,11/18/2024 11:10,R_2Pd1geNq1phmaIx,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,Italy,Postdoc,,35 - 44,1 - 5 years,Male,Sometimes,Most of the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Class / school,,Yes,Yes,"Languages,Development techniques","Development techniques,Project Management","Languages,Development techniques","Languages,Development techniques","Development techniques,Project Management","Development techniques,Project Management",No,,,,,,,,,,,,,,,,,,No grants,Postdoc,,No - I would have to move to another institution,,,,,,,,,,,,,Most of the time,Sometimes,Always,About half the time,Always,Most of the time,About half the time,,,,,,,No,Very important,Poor,Poor,Poor,Poor,,
11/18/2024 12:12,11/18/2024 12:22,IP Address,100,603,TRUE,11/18/2024 12:22,R_2dEDtNp6uJ0iAZu,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,United States of America,Faculty,,35 - 44,11 - 15 years,Male,Most of the time,Sometimes,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Class / school,,No,No,Project Management,Project Management,"Languages,Development techniques",Development techniques,"Languages,Development techniques",,No,,,,,,,,,,,,,,,,,,"IT does not support Linux, and a lot of mathematical research software is more easily available on Linux. My IT in particular has also failed to install version of the software that could run on Windows. :-(",,,Don’t know,,,,,,,,,,,,,Always,Sometimes,Always,Sometimes,Always,Always,,,,,,,,Dependent on the position (programmer vs. faculty),Very important,Average,Average,Poor,Average,the challenges mainly boil down to a few opinionated individuals,
11/18/2024 12:41,11/18/2024 15:41,IP Address,100,10795,TRUE,11/18/2024 15:41,R_3DvkZpqDIclodIC,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Postdoc,,25 - 34,6 - 10 years,Male,Never,About half the time,About half the time,Never,Primary target,Primary target,Primary target,Not at all,1,10,30,10,40,3,2,3,1,0,,5,20,30,15,20,3,5,1,1,0,,Frequently,Frequently,Somewhat,Frequently,Never,Yes,1-3 projects,1-3 projects,1-3 projects,None,Not supported at all,Slightly supported,Extremely supported,Very supported,Moderately supported,Slightly supported,Moderately supported,No,,,Yes,Yes,"Development techniques,Project Management","Development techniques,Project Management","Development techniques,Project Management","Development techniques,Project Management","Development techniques,Project Management","Development techniques,Project Management",No,,0,0,0,0,0,100,0,,"Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support",,"Postdoc,Research Software Engineer,Software Developer,Research Faculty",,Yes - in my current institution,Very important,Slightly important,Extremely important,Slightly important,Moderately important,Slightly important,Not at all important,Very important,Extremely important,Very important,Extremely important,Extremely important,Always,Most of the time,Always,Most of the time,Most of the time,Always,,Always,Always,Sometimes,Always,Never,,Dependent on the position (programmer vs. faculty),Slightly important,Average,Average,Average,Average,racial bias for interest in programming,
11/12/2024 14:01,11/12/2024 14:09,IP Address,71,464,FALSE,11/19/2024 14:09,R_1NwDTuI48pMto1K,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Other,Senior Research Scientist,35 - 44,11 - 15 years,Male,Sometimes,Most of the time,Sometimes,Sometimes,Not at all,Not at all,Primary target,Secondary target,10,5,35,10,20,5,10,5,0,0,,15,0,65,0,0,0,20,0,0,0,,Frequently,Frequently,Frequently,Somewhat,Never,Yes,4+ projects,4+ projects,4+ projects,4+ projects,Extremely supported,Moderately supported,Extremely supported,Extremely supported,Moderately supported,Slightly supported,Extremely supported,Yes,"Class / school,Online self-directed",,Yes,Yes,,"Languages,Development techniques,Project Management",,,,"Languages,Development techniques,Project Management",Yes,For developing new software,0,0,0,0,0,50,50,Simons,"Yes, but inadequate level of support","Yes, but inadequate level of support",No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2024 0:17,11/13/2024 0:19,IP Address,25,103,FALSE,11/20/2024 0:19,R_3JJVo3AvkUoPW5S,anonymous,,,I understand and consent to participate in this survey.,Combination,National lab,,France,Faculty,,35 - 44,16 - 20 years,Male,Most of the time,Sometimes,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2024 2:02,11/20/2024 2:06,IP Address,100,246,TRUE,11/20/2024 2:06,R_1HkpBO3AdL6wGn4,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,United States of America,Faculty,,25 - 34,6 - 10 years,Male,About half the time,About half the time,Sometimes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Don't know,No,"Languages,Development techniques,Project Management",,Development techniques,"Languages,Development techniques",,,No,,,,,,,,,,,,,,,,,,lack of money,,,No - I would have to move to another institution,,,,,,,,,,,,,Always,Sometimes,Always,Always,Always,Always,,,,,,,,Dependent on the position (programmer vs. faculty),Moderately important,Average,Average,Average,Good,,
11/20/2024 10:56,11/20/2024 11:03,IP Address,100,432,TRUE,11/20/2024 11:03,R_2flWBwEQo1qnttL,anonymous,,,I understand and consent to participate in this survey.,Researchers,Other:,flatiron,United States of America,Postdoc,,25 - 34,6 - 10 years,Female,Sometimes,Most of the time,Sometimes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Class / school,,Yes,No,"Languages,Development techniques","Languages,Development techniques",,"Languages,Development techniques",,,No,,,,,,,,,,,,,,,,,,idk,"Research Software Engineer,Software Developer",,Yes - in my current institution,,,,,,,,,,,,,About half the time,Never,About half the time,About half the time,About half the time,About half the time,Never,,,,,,,No,Moderately important,Average,Average,Poor,Average,,
11/20/2024 12:38,11/20/2024 12:53,IP Address,100,947,TRUE,11/20/2024 12:53,R_UYgd3YPbKsdJTEt,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Faculty,,75 - 84,20 or more years,Male,Most of the time,Sometimes,Never,Never,Primary target,Secondary target,Secondary target,Not at all,0,0,25,25,25,0,25,0,0,0,,0,0,75,25,0,0,0,0,0,0,,Never,Never,Frequently,Frequently,Never,Yes,1-3 projects,None,None,1-3 projects,Not supported at all,Very supported,Moderately supported,Not supported at all,Slightly supported,Slightly supported,Moderately supported,Yes,Other,Macaulay2 conferences,No,No,Languages,Languages,,Languages,,,No,,0,0,0,0,0,50,50,Simons,No,"Yes, but inadequate level of support",No,No,No,"Yes, but inadequate level of support",No,No,collaboration,,,No - I would have to move to another institution,Very important,,,,Very important,,Not at all important,Slightly important,Extremely important,Slightly important,Slightly important,Extremely important,Always,Never,Always,Always,Always,Always,,Never,Never,About half the time,Never,Never,,Yes,Moderately important,,,,,,
11/14/2024 2:09,11/14/2024 2:10,IP Address,25,85,FALSE,11/21/2024 2:10,R_1r7alJzHOUufy1P,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,Germany,Postdoc,,35 - 44,16 - 20 years,Male,Sometimes,Sometimes,Sometimes,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 9:21,11/15/2024 9:24,IP Address,25,173,FALSE,11/22/2024 9:24,R_1nYEmrHYt9muqCZ,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,Israel,Graduate Student,,19 - 24,1 - 5 years,Male,Most of the time,Sometimes,Never,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 11:19,11/15/2024 11:23,IP Address,25,188,FALSE,11/22/2024 11:23,R_3J96k9OSKy2CUyS,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,Germany,Graduate Student,,25 - 34,1 - 5 years,Prefer not to say,Always,Sometimes,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2024 11:29,11/15/2024 11:33,IP Address,25,249,FALSE,11/22/2024 11:34,R_3GxoNVHRg2ra4fE,anonymous,,,I understand and consent to participate in this survey.,Combination,Educational institution,,United States of America,Faculty,,35 - 44,11 - 15 years,Male,About half the time,About half the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2024 12:36,11/22/2024 12:41,IP Address,100,325,TRUE,11/22/2024 12:41,R_2SGecu6uwurEK0X,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,Germany,Postdoc,,25 - 34,Less than 1 year,Male,About half the time,About half the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Don't know,Yes,,"Languages,Development techniques",,"Languages,Development techniques,Project Management",Project Management,,No,,,,,,,,,,,,,,,,,,"Lack of recognition as important for research, lack of funding for proprietary software","Postdoc,Research Faculty",,No - I would have to move to another institution,,,,,,,,,,,,,Most of the time,Sometimes,Always,Always,Most of the time,About half the time,Never,,,,,,,Dependent on the position (programmer vs. faculty),Slightly important,,,,,N/A,N/A
11/24/2024 8:46,11/24/2024 8:53,IP Address,100,424,TRUE,11/24/2024 8:53,R_1K3FeVbPWDRv7cm,anonymous,,,I understand and consent to participate in this survey.,Researchers,Educational institution,,United States of America,Graduate Student,,25 - 34,1 - 5 years,Female,Sometimes,Most of the time,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Don't know,No,"Development techniques,Project Management","Languages,Development techniques","Languages,Development techniques","Languages,Development techniques","Languages,Development techniques",,No,,,,,,,,,,,,,,,,,,Work done on developing software to help with pure math research is not appreciated enough in the pure math community.,"Research Software Engineer,Research Programmer,Software Developer,Programmer",,No - I would have to move to another institution,,,,,,,,,,,,,Always,Never,Always,Most of the time,Most of the time,Always,,,,,,,,Dependent on the position (programmer vs. faculty),Very important,,,,,,
